Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index,Lat,Lon
4/13/2025 14:38,3,1,0,0,334924997,-820055306,27,604,28564292,0,6.77,281.36,285.33,-0.02,-0.31,0.55,1,33.4924997,-82.0055306
4/13/2025 14:38,3,1,0,0,334925009,-820055372,27,604,28498142,0,6.15,281.27,282.95,-0.01,-2.03,0.55,1,33.4925009,-82.0055372
4/13/2025 14:38,3,1,0,0,334925019,-820055437,29,574,28246728,0,5.53,281.36,282.89,-0.01,0.42,0.55,1,33.4925019,-82.0055437
4/8/4584 0:00,97,0,0,0,1072693248,22722320,147,0,1073741824,536870928,6656877.28,253.66,282.89,-0.16,-10454.53,0.55,1,107.2693248,2.272232
4/8/21462 0:0:15,97,0,0,200,1090021888,0,0,1202590843,1064598241,536870928,6790757.89,250.69,282.77,-0.18,-10363.22,0.55,1,109.0021888,0
4/13/2025 14:38,3,1,0,0,334925045,-820055662,29,336,27891996,0,3.43,283.49,282.7,0,3.78,0.55,1,33.4925045,-82.0055662
4/13/2025 14:38,3,1,0,0,334925048,-820055706,29,413,27857454,0,3.03,284.67,282.7,0.01,4.13,0.55,1,33.4925048,-82.0055706
4/13/2025 14:38,3,1,0,0,334925051,-820055757,29,533,27737280,0,2.57,286.63,283.02,0.02,5.64,0.55,1,33.4925051,-82.0055757
4/13/2025 14:38,3,1,0,0,334925055,-820055814,29,569,27949474,0,2.05,289.67,283.2,0.04,3.71,0.55,1,33.4925055,-82.0055814
4/13/2025 14:38,3,1,0,0,334925059,-820055867,30,476,28111904,0,1.58,294.17,289.64,0.03,8.52,0.55,1,33.4925059,-82.0055867
4/13/2025 14:38,3,1,0,0,334925066,-820055912,30,419,28788228,0,18.68,284.45,290.22,-0.03,2.34,3.53,2,33.4925066,-82.0055912
4/13/2025 14:38,3,1,0,0,334925073,-820055948,30,331,29208104,0,18.34,284.47,285.91,-0.01,-6.17,3.53,2,33.4925073,-82.0055948
4/13/2025 14:38,3,1,0,0,334925078,-820055994,30,501,28139128,0,17.91,284.64,284.47,0,3.08,3.53,2,33.4925078,-82.0055994
4/13/2025 14:38,3,1,0,0,334925081,-820056057,30,553,28312840,0,17.34,285.02,284.41,0,1.28,3.53,2,33.4925081,-82.0056057
4/13/2025 14:38,3,1,0,0,334925087,-820056122,31,574,28329448,0,16.74,285.34,284.41,0.01,1.11,3.53,2,33.4925087,-82.0056122
4/13/2025 14:38,3,1,0,0,334925092,-820056188,31,594,28314710,0,16.13,285.72,284.41,0.01,1.26,3.53,2,33.4925092,-82.0056188
4/13/2025 14:38,3,1,0,0,334925098,-820056255,31,603,28237876,0,15.52,286.11,284.41,0.01,2.03,3.53,2,33.4925098,-82.0056255
4/13/2025 14:38,3,1,0,0,334925104,-820056320,31,598,28267538,0,14.92,286.5,284.41,0.01,1.73,3.53,2,33.4925104,-82.005632
4/13/2025 14:38,3,1,0,0,334925117,-820056409,30,614,28284912,0,14.09,286.89,284.41,0.01,1.56,3.53,2,33.4925117,-82.0056409
4/13/2025 14:38,3,1,0,0,334925125,-820056500,31,613,28274386,0,13.25,287.59,284.41,0.02,1.66,3.53,2,33.4925125,-82.00565
4/13/2025 14:38,3,1,0,0,334925132,-820056591,31,610,28229828,0,12.43,288.42,284.41,0.02,2.11,3.53,2,33.4925132,-82.0056591
4/13/2025 14:38,3,1,0,0,334925122,-820056691,31,571,28397340,0,11.59,290.39,285.94,0.02,1.97,4.62,2,33.4925122,-82.0056691
4/13/2025 14:38,3,1,0,0,334925119,-820056778,31,534,28779040,0,10.85,292.04,289.69,0.01,1.9,4.62,2,33.4925119,-82.0056778
4/13/2025 14:38,3,1,0,0,334925123,-820056863,31,583,29036192,0,10.1,293.49,290.38,0.02,0.02,4.62,2,33.4925123,-82.0056863
