Latitude,Longitude,SIV,heading,speed,distanceBetween,targetHeading,currentHeading,headingError,gpsError,averageGPSError,lat,long,index
335447620,-820346617,26,13042656,1144,266.55,142.64,136.05,0.04,5.62,-43.03,33.544762,-82.0346617,0
335447550,-820346532,26,13581214,1111,265.46,142.68,142.09,0,6.28,-43.03,33.544755,-82.0346532,0
335447474,-820346443,26,13485184,1207,264.28,142.71,144.22,-0.01,9.37,-43.03,33.5447474,-82.0346443,0
335447395,-820346352,26,13617116,1225,263.07,142.74,146.79,-0.02,10.62,-43.03,33.5447395,-82.0346352,0
335447320,-820346267,26,13601020,1130,261.93,142.76,145.68,-0.02,9.67,-43.03,33.544732,-82.0346267,0
335447242,-820346177,26,13542808,1230,260.74,142.79,146.75,-0.02,11.32,-43.03,33.5447242,-82.0346177,0
335447169,-820346089,26,13360102,1121,259.6,142.83,145.54,-0.02,11.94,-43.03,33.5447169,-82.0346089,0
335447097,-820345998,26,13305576,1186,258.45,142.87,145.94,-0.02,12.88,-43.03,33.5447097,-82.0345998,0
335447024,-820345902,26,13153854,1223,257.26,142.92,146.66,-0.02,15.12,-43.03,33.5447024,-82.0345902,0
335446953,-820345809,26,13219558,1140,256.12,142.97,146.43,-0.02,14.23,-43.03,33.5446953,-82.0345809,0
335446879,-820345718,26,13455616,1197,254.95,143.01,150.58,-0.04,16.02,-43.03,33.5446879,-82.0345718,0
335446803,-820345641,26,14138456,1081,253.85,143.02,133.06,0.06,-8.32,-31.84,33.5446803,-82.0345641,0
335446658,-820345503,26,14496200,1035,251.79,143.03,143.85,0,-1.11,-31.84,33.5446658,-82.0345503,0
335446572,-820345431,26,14403402,1232,250.62,143.02,145.67,-0.01,1.64,-31.84,33.5446572,-82.0345431,0
335446481,-820345351,26,14339538,1262,249.37,143.02,146.71,-0.02,3.31,-31.84,33.5446481,-82.0345351,0
335446395,-820345272,27,14131982,1184,248.16,143.02,145.85,-0.02,4.53,-31.84,33.5446395,-82.0345272,0
335446308,-820345189,27,14077336,1263,246.93,143.03,146.66,-0.02,5.89,-31.84,33.5446308,-82.0345189,0
335446223,-820345108,27,14118110,1197,245.72,143.04,146.04,-0.02,4.86,-31.84,33.5446223,-82.0345108,0
335446136,-820345023,27,14000750,1274,244.47,143.05,146.67,-0.02,6.66,-31.84,33.5446136,-82.0345023,0
335446051,-820344938,27,13959958,1214,243.24,143.06,146.35,-0.02,6.75,-31.84,33.5446051,-82.0344938,0
335445968,-820344848,27,13712340,1272,242,143.09,148.44,-0.03,11.32,-31.84,33.5445968,-82.0344848,0
335445887,-820344767,28,14040706,1147,240.83,143.1,141.03,0.01,0.62,-28.28,33.5445887,-82.0344767,0
335445808,-820344688,28,13912292,1148,239.69,143.12,140.66,0.01,1.54,-28.28,33.5445808,-82.0344688,0
335445723,-820344607,28,14166440,1237,238.48,143.12,140.26,0.02,-1.4,-28.28,33.5445723,-82.0344607,0
335445635,-820344522,28,14048158,1273,237.23,143.14,140.38,0.02,-0.1,-28.28,33.5445635,-82.0344522,0
335445545,-820344434,28,14024332,1315,235.94,143.15,140.88,0.01,0.64,-28.28,33.5445545,-82.0344434,0
335445453,-820344342,28,13925194,1334,234.61,143.16,141.79,0.01,2.54,-28.28,33.5445453,-82.0344342,0
335445361,-820344250,28,14018446,1331,233.28,143.18,142.58,0,2.4,-28.28,33.5445361,-82.034425,0
335445269,-820344158,28,13979334,1340,231.95,143.2,143.45,0,3.66,-28.28,33.5445269,-82.0344158,0
335445177,-820344070,28,14153640,1300,230.64,143.21,143.65,0,2.12,-28.28,33.5445177,-82.034407,0
335445086,-820343984,28,14105006,1304,229.35,143.22,144.8,-0.01,3.75,-28.28,33.5445086,-82.0343984,0
335444994,-820343898,28,14170428,1296,228.05,143.22,146.66,-0.02,4.96,-28.28,33.5444994,-82.0343898,0
335444901,-820343813,28,14284784,1307,226.75,143.23,146.91,-0.02,4.06,-26.4,33.5444901,-82.0343813,0
335444810,-820343736,28,14487222,1212,225.52,143.22,145.92,-0.02,1.05,-26.4,33.544481,-82.0343736,0
335444716,-820343657,28,14458602,1318,224.24,143.21,146.39,-0.02,1.8,-26.4,33.5444716,-82.0343657,0
335444616,-820343575,28,14541496,1364,222.89,143.19,145.71,-0.01,0.29,-26.4,33.5444616,-82.0343575,0
335444515,-820343491,28,14504030,1366,221.53,143.18,144.76,-0.01,-0.28,-26.4,33.5444515,-82.0343491,0
335444416,-820343406,28,14336676,1345,220.17,143.17,144.05,0,0.68,-26.4,33.5444416,-82.0343406,0
335444322,-820343319,28,14175696,1327,218.85,143.18,143.86,0,2.1,-26.4,33.5444322,-82.0343319,0
335444230,-820343231,28,14061492,1296,217.55,143.19,144.02,0,3.4,-26.4,33.544423,-82.0343231,0
335444140,-820343143,28,14018656,1296,216.26,143.2,143.83,0,3.64,-26.4,33.544414,-82.0343143,0
335444051,-820343051,28,13885092,1315,214.95,143.23,144.21,-0.01,5.36,-26.4,33.5444051,-82.0343051,0
335443959,-820342960,28,14060976,1336,213.63,143.24,142.07,0.01,1.46,-24.19,33.5443959,-82.034296,0
