Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
3/29/2025 23:12:53, 3, 1, 0, 0, 334927611, -820054487, 30, 535, 20832740, 0, 6.50, 253.59, 248.12, 0.03, 39.80, -212.62
3/29/2025 23:12:54, 3, 1, 0, 0, 334927568, -820054515, 30, 545, 20975850, 0, 6.13, 257.20, 253.00, 0.02, 43.24, -212.62
3/29/2025 23:12:55, 3, 1, 0, 0, 334927527, -820054546, 30, 536, 21559810, 0, 5.76, 261.00, 255.94, 0.03, 40.34, -212.62
3/29/2025 23:12:56, 3, 1, 0, 0, 334927489, -820054583, 30, 548, 22035112, 0, 5.36, 264.88, 260.37, 0.03, 40.02, -212.62
3/29/2025 23:12:57, 3, 1, 0, 0, 334927453, -820054621, 30, 536, 22289048, 0, 4.99, 269.11, 264.31, 0.03, 41.42, -212.62
3/29/2025 23:12:58, 3, 1, 0, 0, 334927419, -820054664, 30, 555, 22934286, 0, 4.60, 273.74, 268.56, 0.03, 39.22, -212.62
3/29/2025 23:12:59, 3, 1, 0, 0, 334927360, -820054697, 31, 560, 23168296, 0, 4.39, 282.58, 273.44, 0.05, 41.75, -212.62
3/29/2025 23:13:0, 3, 1, 0, 0, 334927330, -820054747, 31, 544, 23900166, 0, 4.03, 288.66, 241.87, 0.26, 2.87, -172.37
3/29/2025 23:13:0, 3, 1, 0, 0, 334927330, -820054747, 31, 544, 23900166, 0, 4.03, 288.66, 285.25, 0.02, 46.25, -172.37
3/29/2025 23:13:4, 3, 1, 0, 0, 334927297, -820054869, 32, 253, 28754872, 0, 3.16, 301.64, 294.37, 0.04, 6.82, -172.37
3/29/2025 23:13:5, 3, 1, 0, 0, 334927310, -820054902, 32, 404, 29514090, 0, 2.82, 302.40, 302.81, -0.00, 7.67, -172.37
3/29/2025 23:13:6, 3, 1, 0, 0, 334927332, -820054937, 32, 453, 30869800, 0, 2.42, 301.62, 305.19, -0.02, -3.51, -172.37
3/29/2025 23:13:7, 3, 1, 0, 0, 334927364, -820054974, 32, 507, 31420640, 0, 1.94, 297.99, 305.44, -0.04, -8.77, -172.37
3/29/2025 23:13:8, 3, 1, 0, 0, 334927401, -820055011, 32, 526, 31790086, 0, 7.63, 236.44, 290.28, -0.30, -27.62, -164.22
3/29/2025 23:13:8, 3, 1, 0, 0, 334927401, -820055011, 32, 526, 31790086, 0, 7.63, 236.44, 239.78, -0.02, -78.12, -164.22
3/29/2025 23:13:13, 3, 1, 0, 0, 334927468, -820055181, 32, 435, 26203650, 0, 6.89, 223.92, 231.91, -0.04, -30.13, -164.22
3/29/2025 23:13:14, 3, 1, 0, 0, 334927461, -820055228, 32, 436, 25861466, 0, 6.53, 221.64, 224.16, -0.01, -34.46, -164.22
3/29/2025 23:13:15, 3, 1, 0, 0, 334927446, -820055282, 32, 553, 25111276, 0, 6.08, 219.16, 222.10, -0.02, -29.02, -164.22
3/29/2025 23:13:16, 3, 1, 0, 0, 334927429, -820055341, 32, 580, 25147128, 0, 5.60, 216.03, 221.41, -0.03, -30.06, -164.22
3/29/2025 23:13:17, 3, 1, 0, 0, 334927413, -820055397, 32, 522, 25200084, 0, 5.16, 212.53, 216.72, -0.02, -35.28, -164.22
3/29/2025 23:13:18, 3, 1, 0, 0, 334927394, -820055451, 32, 546, 24730128, 0, 4.72, 208.78, 213.53, -0.03, -33.77, -164.22
3/29/2025 23:13:19, 3, 1, 0, 0, 334927375, -820055503, 32, 534, 24685640, 0, 4.32, 204.51, 246.04, -0.23, -0.81, -201.11
3/29/2025 23:13:19, 3, 1, 0, 0, 334927375, -820055503, 32, 534, 24685640, 0, 4.32, 204.51, 207.86, -0.02, -39.00, -201.11
3/29/2025 23:13:23, 3, 1, 0, 0, 334927278, -820055659, 32, 470, 21185568, 0, 2.87, 186.87, 200.67, -0.08, -11.19, -201.11
3/29/2025 23:13:24, 3, 1, 0, 0, 334927241, -820055685, 31, 483, 20981304, 0, 2.44, 182.40, 190.36, -0.04, -19.46, -201.11
3/29/2025 23:13:25, 3, 1, 0, 0, 334927201, -820055707, 31, 471, 20031758, 0, 1.99, 177.07, 181.73, -0.03, -18.59, -201.11
3/29/2025 23:13:26, 3, 1, 0, 0, 334927157, -820055721, 31, 502, 19265876, 0, 8.32, 220.27, 194.93, 0.14, 2.27, -218.87
3/29/2025 23:13:27, 3, 1, 0, 0, 334927120, -820055730, 31, 375, 18999102, 0, 7.96, 221.72, 216.93, 0.03, 26.94, -218.87
3/29/2025 23:13:29, 3, 1, 0, 0, 334927071, -820055748, 31, 264, 21367734, 0, 7.44, 223.56, 225.06, -0.01, 11.38, -218.87
3/29/2025 23:13:30, 3, 1, 0, 0, 334927043, -820055777, 31, 466, 22144008, 0, 7.03, 223.72, 226.93, -0.02, 5.49, -218.87
3/29/2025 23:13:31, 3, 1, 0, 0, 334927008, -820055816, 31, 565, 22377346, 0, 6.50, 223.78, 226.43, -0.01, 2.66, -218.87
3/29/2025 23:13:32, 3, 1, 0, 0, 334926971, -820055862, 31, 609, 22636752, 0, 5.91, 223.56, 225.56, -0.01, -0.81, -218.87
3/29/2025 23:13:33, 3, 1, 0, 0, 334926935, -820055910, 32, 610, 22746942, 0, 5.31, 223.06, 225.50, -0.01, -1.97, -218.87
3/29/2025 23:13:34, 3, 1, 0, 0, 334926899, -820055958, 32, 611, 22808656, 0, 4.72, 222.42, 225.50, -0.02, -2.59, -218.87
3/29/2025 23:13:35, 3, 1, 0, 0, 334926863, -820056009, 32, 617, 22937462, 0, 4.10, 221.32, 225.50, -0.02, -3.88, -218.87
